,Bank Name,Job Title,URL (URL of the job posting),cluster1_tech_words.csv,cluster2_fintech_words.csv
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/fairview-park/customer-service-teller/288/10862125,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/strongsville/relationship-banker/288/10862133,0,0
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/warren/instore-personal-banker/288/10862127,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/chestnut-hill/associate-licensed-relationship-banker/288/10862128,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/wolfeboro/customer-service-teller/288/10862129,0,0
0,Citizen,Sr Customer Service Teller,https://jobs.citizensbank.com/job/north-ridgeville/sr-customer-service-teller/288/10862134,0,0
0,Citizen,Financial Advisor II,https://jobs.citizensbank.com/job/fort-washington/financial-advisor-ii/288/10862135,0,0
0,Citizen,Bankruptcy Market Sales Leader,https://jobs.citizensbank.com/job/boston/bankruptcy-market-sales-leader/288/10862141,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/trenton/personal-banker/288/10862142,0,0
0,Citizen,Premier Advisor,https://jobs.citizensbank.com/job/new-haven/premier-advisor/288/10862144,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/lake-orion/relationship-banker/288/10862146,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/southgate/associate-licensed-relationship-banker/288/10862143,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/parma/relationship-banker/288/10862145,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/north-conway/customer-service-teller/288/10862147,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/wayne/personal-banker/288/10557560,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/londonderry/associate-licensed-relationship-banker/288/10857588,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/providence/relationship-banker/288/10857589,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/latrobe/associate-licensed-relationship-banker/288/10854176,0,0
0,Citizen,Business Banking Market Manager-RM I,https://jobs.citizensbank.com/job/manchester/business-banking-market-manager-rm-i/288/10854175,10,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/cleveland/personal-banker/288/10854179,0,0
0,Citizen,Senior Customer Service Teller,https://jobs.citizensbank.com/job/north-waltham/senior-customer-service-teller/288/10854173,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/deruyter/customer-service-teller/288/10854172,0,0
0,Citizen,Personal Banker,https://jobs.citizensbank.com/job/medina/personal-banker/288/10854174,0,0
0,Citizen,Customer Service Teller,https://jobs.citizensbank.com/job/whitesboro/customer-service-teller/288/10854177,0,0
0,Citizen,Personal Banker Univ,https://jobs.citizensbank.com/job/hudson/personal-banker-univ/288/10854182,0,0
0,Citizen,Relationship Banker,https://jobs.citizensbank.com/job/liverpool/relationship-banker/288/10854183,0,0
0,Citizen,Instore Personal Banker,https://jobs.citizensbank.com/job/greensburg/instore-personal-banker/288/10854180,0,0
0,Citizen,Senior Customer Service Teller,https://jobs.citizensbank.com/job/bedford/senior-customer-service-teller/288/10854181,0,0
0,Citizen,InStore Personal Banker,https://jobs.citizensbank.com/job/fairport/instore-personal-banker/288/10517388,0,0
0,Citizen,Business Banking Relationship Manager II - RI,https://jobs.citizensbank.com/job/providence/business-banking-relationship-manager-ii-ri/288/10234295,0,0
0,Citizen,Financial Advisor II,https://jobs.citizensbank.com/job/east-hampton/financial-advisor-ii/288/10211716,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/medford/associate-licensed-relationship-banker/288/10211725,0,0
0,Citizen,Personal Banker Universal,https://jobs.citizensbank.com/job/brookhaven/personal-banker-universal/288/10188803,0,0
0,Citizen,Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/revere/associate-licensed-relationship-banker/288/10180616,0,0
0,Citizen,Financial Advisor I,https://jobs.citizensbank.com/job/east-greenwich/financial-advisor-i/288/10175258,0,0
0,Citizen,Analysis &Reporting Senior Analyst,https://jobs.citizensbank.com/job/johnston/analysis-and-reporting-senior-analyst/288/10138597,0,0
0,Citizen,Financial Advisor II,https://jobs.citizensbank.com/job/blue-bell/financial-advisor-ii/288/10131492,0,0
0,Citizen,Financial Advisor II,https://jobs.citizensbank.com/job/cranston/financial-advisor-ii/288/9758132,0,0
0,Citizen,"Business Banking Relationship Manager II - Erie, PA",https://jobs.citizensbank.com/job/erie/business-banking-relationship-manager-ii-erie-pa/288/9754554,0,0
0,Citizen,Home Mortgage Consumer Operations Mail Supervisor,https://jobs.citizensbank.com/job/glen-allen/home-mortgage-consumer-operations-mail-supervisor/288/10851696,0,0
0,Citizen,Retail Associate Licensed Relationship Banker,https://jobs.citizensbank.com/job/ardmore/retail-associate-licensed-relationship-banker/288/10503449,0,0
0,Citizen,Assoc Licensed Relationship Banker,https://jobs.citizensbank.com/job/north-smithfield/assoc-licensed-relationship-banker/288/10500792,0,0
